id,credit_card_type,credit_card_number,date_of_birth
634,maestro,6.304605495966524e+17,01-Mar-1956
635,,4917948174449656.0,
636,jcb,,16-Mar-1959
637,solo,6.767602730199235e+18,23-May-1972
638,,3565818507102677.0,
639,jcb,3587391987570957.0,16-Nov-1943
640,visa-electron,,13-Jun-2001
641,maestro,,11-May-1944
642,visa-electron,4844265924579015.0,14-Apr-2001
643,visa-electron,4175001774060601.0,
644,jcb,3549198174188874.0,17-May-1986
645,visa-electron,4844337010170809.0,30-Apr-1934
646,visa-electron,4026889587529049.0,19-Feb-1988
647,laser,6.709080803633143e+16,05-Aug-1939
648,jcb,3588200514411487.0,14-Jul-1995
649,laser,6771501604500778.0,10-Aug-1994
650,jcb,,09-Jul-1938
651,switch,4911416033504711.0,29-Mar-1938
652,maestro,,10-Jul-1997
653,jcb,3583723737463592.0,
654,switch,6.759484404339555e+17,22-Oct-1962
655,mastercard,5170528467188358.0,24-Mar-1933
656,instapayment,,01-Dec-1938
657,jcb,3569222715423239.0,
658,laser,6.771718046224376e+18,28-Jan-1981
659,mastercard,5048376052248868.0,24-May-1949
660,jcb,,
661,americanexpress,,
662,visa,4017957413284286.0,16-Sep-1959
663,china-unionpay,5.602226773001585e+18,26-Sep-1952
664,jcb,,29-Jun-1951
665,visa-electron,,
666,diners-club-enroute,,14-Mar-1974
667,china-unionpay,5.602237850481966e+16,01-Jan-1945
668,jcb,,06-Sep-1969
669,visa-electron,,30-Aug-1981
670,switch,4.93657257731705e+18,30-May-1978
671,jcb,3562673093537726.0,17-Jul-1991
672,diners-club-enroute,,
673,visa-electron,4508883548675766.0,
674,jcb,3565370203733900.0,29-Jun-1991
675,,4.936222590784714e+17,
676,maestro,6.042630752002436e+17,17-May-1974
677,jcb,3543535824542842.0,03-Mar-1974
678,,5565744129175039.0,28-Nov-1934
679,jcb,3571071181945407.0,
680,diners-club-enroute,201814025992018.0,14-Mar-1981
681,jcb,,02-Sep-1967
682,jcb,,13-Oct-2003
683,laser,6304811406742676.0,08-Apr-1975
684,diners-club-enroute,201784103291569.0,17-Feb-1962
685,jcb,3536384321928140.0,
686,jcb,3583527325811587.0,11-Nov-1933
687,maestro,6761452968298827.0,23-Apr-1985
688,jcb,3530757645776814.0,
689,jcb,3541730341748020.0,31-Aug-1936
690,jcb,3529071027062840.0,03-Nov-1950
691,mastercard,5002352795262288.0,10-Jul-1943
692,china-unionpay,5.6022458096350264e+16,25-Dec-1989
693,jcb,3572710152245433.0,22-Nov-1974
694,mastercard,5048372037124472.0,15-Jun-1953
695,jcb,,22-Apr-1959
696,jcb,3535141867736563.0,31-Dec-1947
697,diners-club-us-ca,5585047842334743.0,13-Feb-1969
698,jcb,3587529112503654.0,
699,jcb,3566758717255478.0,11-Mar-1988
700,jcb,3576092292147498.0,24-Feb-1990
701,,3566429079894722.0,
702,instapayment,6371041845967803.0,17-Jul-1988
703,jcb,3537792668316803.0,
704,jcb,3530260465616657.0,15-Apr-1958
705,china-unionpay,5602253984191730.0,12-Nov-1989
706,switch,6759501606661251.0,23-Oct-1936
707,visa,4041595116989.0,12-Mar-1997
708,diners-club-enroute,201444879069190.0,04-Nov-1965
709,instapayment,6370761128589724.0,
710,visa-electron,4917260984263495.0,19-Apr-1985
711,bankcard,5602230783101326.0,
712,jcb,3587947058435402.0,07-Jan-1983
713,jcb,3580584789689952.0,06-May-2000
714,bankcard,5602228249473206.0,31-Jan-1962
715,visa,,30-Jun-1947
716,,3533439470442856.0,
717,jcb,3575458965145559.0,08-Jun-1956
718,diners-club-enroute,,26-Dec-1954
719,diners-club-carte-blanche,30543541357623.0,25-Aug-1978
720,jcb,,14-Jan-1961
721,visa,4041592966482175.0,
722,jcb,3561285519653234.0,09-May-1992
723,solo,6.334743833020641e+18,25-Jan-1943
724,visa-electron,4913847975274988.0,21-Mar-1958
725,jcb,3567379528155689.0,05-Aug-1966
726,maestro,6.761535542992829e+18,22-Jul-1998
727,switch,,
728,switch,4911429988315231.0,29-Sep-1981
729,,3556053452082721.0,23-Dec-1970
730,china-unionpay,,01-Mar-1990
731,visa,4826659080559690.0,
732,americanexpress,372301883637193.0,
733,jcb,3548070538121860.0,23-Sep-1955
734,americanexpress,337941668915043.0,30-Oct-1974
735,jcb,3578155072997578.0,
736,jcb,3534106724053925.0,01-Jun-1991
737,maestro,6.047515588806603e+16,29-Sep-1986
738,bankcard,5602230932781606.0,06-Dec-1944
739,jcb,3555496975589733.0,04-Aug-1963
740,switch,4905560523703040.0,28-Jun-1994
741,americanexpress,374398114114362.0,27-May-1993
742,mastercard,5002356376193408.0,13-Nov-2003
743,diners-club-carte-blanche,30022030644783.0,16-Apr-1932
744,instapayment,6391873224542450.0,29-Oct-1957
745,visa-electron,4844877614883620.0,
746,jcb,3586602530419893.0,09-Mar-2000
747,jcb,3559163530105340.0,17-Feb-1982
748,maestro,5.018039573599047e+17,22-Nov-1984
749,americanexpress,372301185191576.0,14-Sep-1970
750,visa-electron,4917427551660052.0,08-Jul-1965
751,,5018311619122468.0,27-Jan-1959
752,jcb,3579106532142106.0,15-Jun-1960
753,diners-club-carte-blanche,,15-Nov-1960
754,jcb,3577184598270519.0,20-Oct-1977
755,jcb,3545840701493996.0,16-Mar-1979
756,jcb,3565863119654517.0,
757,jcb,3557280247710022.0,11-Jun-1942
758,jcb,3564250397028153.0,
759,diners-club-carte-blanche,30477809861119.0,
760,bankcard,5602226268093921.0,24-Apr-1985
761,mastercard,5048378094279869.0,22-Oct-1972
762,diners-club-carte-blanche,30548982806137.0,06-Jun-1937
763,diners-club-carte-blanche,30134371370611.0,
764,americanexpress,379768260518738.0,13-Apr-1994
765,switch,4911414199742548.0,
766,mastercard,5108755019597565.0,21-Aug-1937
767,bankcard,5610064060176622.0,05-Sep-1993
768,mastercard,5100146973209561.0,
769,jcb,,11-Jul-1991
770,,3565150656636788.0,13-Jul-1949
771,jcb,3548860968871947.0,13-Apr-1999
772,jcb,,20-Jan-1941
773,americanexpress,374288766296577.0,
774,jcb,3536110352053726.0,22-Jul-1981
775,jcb,3575627865604218.0,10-Feb-1985
776,jcb,,23-Jan-2001
777,jcb,3546867493740499.0,14-Apr-1959
778,jcb,3579817478844832.0,21-Aug-1969
779,americanexpress,337941993576858.0,24-Aug-1974
780,jcb,3579681212303574.0,21-Oct-1940
781,jcb,3579836912845619.0,
782,mastercard,5538441335191017.0,01-Jun-1950
783,bankcard,5602230831805761.0,14-Sep-1979
784,switch,6.759459951426648e+17,
785,switch,4911456167008709.0,01-May-1957
786,jcb,3578325919718715.0,
787,jcb,3541402642862336.0,30-Jul-1932
788,americanexpress,349532594950745.0,04-Mar-1972
789,diners-club-carte-blanche,30140377902729.0,28-Oct-1939
790,jcb,3553140863807235.0,27-Jul-1971
791,jcb,3547742660513764.0,12-Jun-1939
792,jcb,,14-Oct-2003
793,instapayment,6377354795792210.0,23-Jul-1995
794,instapayment,6383253957332553.0,03-Jan-1961
795,diners-club-enroute,201662566840736.0,
796,americanexpress,345379698035393.0,14-Jul-1997
797,jcb,,11-Nov-1985
798,jcb,3560459693483137.0,12-Sep-1972
799,bankcard,5602217690855482.0,31-Dec-1984
800,jcb,,18-Nov-1968
801,jcb,3571707983443741.0,
802,china-unionpay,5.6108257025279686e+17,11-Apr-1989
803,diners-club-international,36842506284770.0,02-Mar-1985
804,jcb,3565393291898906.0,
805,jcb,3589354916245628.0,21-Nov-1980
806,mastercard,5100130489055262.0,19-Oct-1941
807,jcb,3574452106070546.0,04-May-1959
808,americanexpress,372803710149532.0,09-Feb-1974
809,instapayment,6395511149272847.0,03-Mar-1936
810,bankcard,5602230513577381.0,
811,laser,6709976257435158.0,12-Feb-1989
812,switch,6.331105841507116e+17,10-Dec-1973
813,jcb,3529065896490793.0,20-Jan-1935
814,jcb,3554594975273075.0,21-Jul-1974
815,laser,6.304215267677068e+18,17-Feb-1939
816,jcb,3572509700864061.0,03-Mar-1974
817,jcb,3533971347029664.0,23-Sep-1981
818,diners-club-carte-blanche,30431897408622.0,31-Jul-1945
819,china-unionpay,5602255031619936.0,24-Jul-1958
820,jcb,,27-Jan-2000
821,visa,4635302156129.0,07-Dec-1948
822,diners-club-carte-blanche,30217654137789.0,16-Jul-1988
823,maestro,5.020238515751917e+18,04-Feb-1993
824,maestro,6761714959190333.0,29-Mar-1966
825,solo,,
826,diners-club-us-ca,5518022288760851.0,12-Mar-1994
827,jcb,3547170509142290.0,16-Sep-1964
828,laser,6771869759630645.0,09-Feb-1980
829,americanexpress,378078463320713.0,29-Jan-1994
830,jcb,3545332285528116.0,01-Mar-1967
831,jcb,3571132075274906.0,02-Jul-1935
832,diners-club-international,36209892806964.0,05-Mar-1982
833,americanexpress,337941048852320.0,04-Feb-1936
834,jcb,,09-Nov-1945
835,maestro,5.038973260898184e+16,01-Jan-1981
836,jcb,3571818599120316.0,
837,jcb,3540866683603968.0,
838,diners-club-carte-blanche,30533905279844.0,
839,jcb,,03-Jan-2003
840,solo,6.767381566513172e+17,
841,jcb,3551604671854806.0,13-Feb-1978
842,jcb,,
843,jcb,,21-Apr-2005
844,mastercard,5108756912281968.0,24-Mar-1974
845,jcb,3577552078474530.0,27-Jan-1963
846,instapayment,6371914489571869.0,
847,diners-club-carte-blanche,30458705807091.0,12-Oct-1932
848,bankcard,5602259352868338.0,21-Nov-1938
849,switch,4.905260160383564e+18,
850,jcb,3573198348971923.0,
851,mastercard,5275495386882012.0,20-Mar-1998
852,jcb,3554611136513130.0,25-Aug-1987
853,jcb,3532671160890967.0,27-Dec-1989
854,mastercard,5100142674775513.0,21-Aug-2002
855,visa-electron,4913241468171101.0,
856,instapayment,6382723876677651.0,
857,jcb,,31-Oct-1958
858,jcb,3569659804527109.0,
859,switch,4.936367454783252e+18,19-Dec-1980
860,instapayment,6389673400729697.0,28-Mar-1940
861,switch,4.905406816757233e+17,30-Dec-1979
862,americanexpress,374283092630987.0,09-Jun-1972
863,switch,6.331101896613604e+17,
864,jcb,3539270353935086.0,
865,jcb,3566530794670220.0,21-Oct-1963
866,switch,4905455740366368.0,
867,switch,6759381103535518.0,01-Feb-1959
868,maestro,6.759976029598532e+17,
869,diners-club-enroute,201689862281083.0,
870,mastercard,5108755188434350.0,15-Apr-1973
871,china-unionpay,5.602243774634866e+18,20-Oct-1938
872,maestro,5.893996564388472e+16,11-Jan-1972
873,mastercard,5114789028836708.0,
874,jcb,3558733904193618.0,
875,,3559609614457049.0,02-Feb-2002
876,jcb,3577665410071515.0,13-Jan-1947
877,diners-club-enroute,201554960082488.0,
878,,3570930607628494.0,22-Aug-1990
879,laser,6.706041212696617e+17,01-Jul-1990
880,americanexpress,372301940045752.0,19-Jan-1977
881,visa-electron,4917524162093424.0,20-Feb-1972
882,china-unionpay,,06-Feb-2002
883,jcb,3564847857767608.0,19-Aug-1995
884,jcb,3530312077911370.0,09-Jan-1997
885,china-unionpay,5.602249300212631e+18,
886,china-unionpay,5602231411928528.0,17-Mar-1977
887,americanexpress,,01-Jul-1976
888,diners-club-enroute,201403400394113.0,17-May-1944
889,mastercard,5599547639168315.0,22-Mar-1932
890,jcb,3530819138655069.0,25-Mar-1988
891,mastercard,5010128427179565.0,
892,,3578591696222631.0,04-Jan-1951
893,jcb,3542191019157292.0,22-Jan-1953
894,maestro,,21-Jan-1964
895,jcb,3557684221358031.0,29-Mar-1948
896,americanexpress,374283708489208.0,04-Dec-1956
897,jcb,3562110435373189.0,11-May-1973
898,jcb,,31-Dec-1946
899,jcb,3581207345783155.0,18-Sep-1964
900,laser,6.706529438381473e+18,06-Apr-1995
901,jcb,3544099745958974.0,02-Jul-1973
902,switch,4.905409643020778e+17,05-Mar-1953
903,,5257659041490527.0,12-Aug-1983
904,visa-electron,4508713811778015.0,29-Apr-1974
905,china-unionpay,5.602212619032786e+16,19-Jun-1938
906,diners-club-enroute,201709076697112.0,02-Jan-2005
907,mastercard,5108757774771682.0,23-Jun-1989
908,diners-club-enroute,201668460864672.0,
909,jcb,3570042481581003.0,21-Oct-1965
910,jcb,3537099457096764.0,
911,china-unionpay,5610901276214368.0,16-Jul-1932
912,maestro,6304025840651845.0,
913,jcb,3552158357270893.0,
914,visa-electron,4508663825154960.0,02-Jun-1981
915,jcb,3534261562270642.0,20-Aug-2001
916,bankcard,5602252824692907.0,
917,bankcard,5602225464597354.0,09-Jul-1970
918,jcb,3559533167330637.0,15-Dec-1956
919,americanexpress,349479192445944.0,
920,jcb,3588015448798522.0,09-Sep-1977
921,jcb,,17-Oct-1938
922,,201435563404651.0,08-Jul-1934
923,instapayment,6382314049266422.0,05-Apr-1965
924,jcb,3549103689895773.0,10-Jul-1943
925,switch,6.331102786125732e+18,04-Feb-1939
926,diners-club-carte-blanche,30305968006574.0,15-May-1999
927,,6.709345998416782e+17,
928,mastercard,5048374244703627.0,01-Apr-1961
929,diners-club-enroute,201781855218105.0,01-Sep-1991
930,jcb,3549402273601401.0,21-Aug-1964
931,maestro,5.038780915585765e+16,05-Sep-1981
932,jcb,,05-Mar-1962
933,americanexpress,342682652462260.0,05-Sep-1952
934,jcb,3559076476519573.0,11-Aug-1993
935,china-unionpay,5602234366803621.0,05-Mar-1965
936,visa-electron,4175009784677991.0,08-Mar-1954
937,diners-club-enroute,201534749946559.0,13-Jun-1949
938,maestro,5.018473867726198e+16,20-May-1987
939,mastercard,5130474462939546.0,20-Mar-1987
940,jcb,,14-Sep-1947
941,diners-club-enroute,201619005037282.0,13-Apr-1942
942,visa-electron,4026189069136011.0,24-Aug-1982
943,jcb,3582103394776530.0,06-Feb-1955
944,maestro,,04-Mar-1963
945,jcb,3588325513735212.0,
946,bankcard,5602248608837858.0,20-Oct-1996
947,diners-club-us-ca,5418819934982909.0,31-Mar-1983
948,switch,4.9053706411102e+18,16-Oct-1947
949,diners-club-enroute,201596927471122.0,
950,,4175008216197875.0,07-Apr-1964
951,maestro,6304267883417797.0,05-Oct-1976
952,mastercard,5048374429946587.0,
953,,5.038518965061273e+16,07-Dec-1997
954,maestro,6.763062017103413e+16,26-Aug-2000
955,americanexpress,374622192634920.0,
956,bankcard,5602212051595967.0,13-Feb-1972
957,jcb,3541693286499340.0,
958,switch,4911590260075890.0,14-Apr-1952
959,switch,4.911559683806617e+18,25-Mar-1946
960,americanexpress,341931296744562.0,
961,visa-electron,4175008111849034.0,02-Jun-1991
962,jcb,3532144042543295.0,24-Oct-1954
963,maestro,6.759814123762049e+18,01-Apr-1988
964,diners-club-enroute,201905620987195.0,18-Sep-1978
965,jcb,3546339279892464.0,
966,jcb,3554727596080103.0,29-Mar-1987
967,maestro,5893400604634973.0,04-Feb-1933
968,mastercard,5493584958434355.0,21-May-2000
969,mastercard,,20-May-1939
970,jcb,3581869350282090.0,23-Dec-1935
971,jcb,3569681928471543.0,08-Mar-1960
972,bankcard,5610284478112353.0,16-Oct-1965
973,jcb,3587662079129682.0,29-Jun-1983
974,jcb,,12-Dec-1939
975,instapayment,6389051629906984.0,22-Dec-1955
976,mastercard,5007660820639147.0,
977,bankcard,,
978,solo,6.767680896158858e+17,21-Dec-1973
979,visa-electron,4026333990194588.0,08-Oct-1973
980,,3551214089675791.0,12-Dec-1949
981,jcb,3551218588618939.0,06-Sep-2001
982,jcb,3559650132225005.0,24-Jul-1949
983,maestro,,08-Nov-2005
984,diners-club-us-ca,,28-Dec-1936
985,maestro,5.02073585897802e+16,21-Oct-1936
986,bankcard,,01-Apr-1979
987,mastercard,5100137278005812.0,24-Aug-1957
988,china-unionpay,5.602242605210048e+16,
989,laser,6.706494760553578e+18,
990,laser,,03-May-1979
991,visa-electron,4913080552130163.0,25-Mar-1977
992,china-unionpay,5.610313747820555e+17,11-Jan-1983
993,mastercard,5383490580455870.0,14-Feb-1971
994,maestro,,04-May-2001
995,maestro,5.893801959382814e+16,12-Jan-1942
996,visa-electron,,16-Feb-1987
997,jcb,3570379803919754.0,12-Jan-1994
998,mastercard,5010121355886921.0,22-Jan-1961
999,visa-electron,,
1000,jcb,3549734988945875.0,20-Sep-2000
